IdSensore	Tipologia	Unità DiMisura	IdStazione	NomeStazione	Quota	Provincia	DataStart	DataStop	Storico	UTM_Nord	UTM_Est	lng	lat	location
9388	Umidità Relativa	%	1202	Vercana	980	CO	19/02/2009		N	5114303	525058	9.324676976148888	46.18184257309385	(46.18184257309385, 9.324676976148888)
10570	Temperatura	°C	1273	Val Masino Bagni	1191	SO	15/07/2011		N	5121270	545980	9.596430583118106	46.24345094940859	(46.24345094940859, 9.596430583118106)
19157	Velocità Vento	m/s	677	Cremona Via Fatebenefratelli	43	CR	20/11/2013		N	4999315	582066	10.043836158369393	45.14254063221695	(45.14254063221695, 10.043836158369393)
11669	Velocità Vento	m/s	998	Laveno-Mombello p.zza Matteotti	207	VA	16/07/2003		N	5084109	470426	8.61868470587428	45.909913257580605	(45.909913257580605, 8.61868470587428)
32390	Livello Idrometrico	cm	1555	Manerba del Garda Dusano	73	BS	15/11/2017		N	5044545	622300	10.566619674481315	45.54369941034534	(45.54369941034534, 10.566619674481315)
9015	Temperatura	°C	1229	Gandellino Grabiasca	738	BG	01/01/2004		N	5095336	573386	9.947876230335114	46.00766620841051	(46.00766620841051, 9.947876230335114)
2449	Radiazione Globale	W/m²	133	Bema	800	SO	01/01/1993		N	5105966	543983	9.569105234399471	46.10585292565578	(46.10585292565578, 9.569105234399471)
8155	Precipitazione	mm	817	Pavia SS 35	71	PV	04/05/2000		N	5003026	511523	9.14666411623237	45.18062204522296	(45.18062204522296, 9.14666411623237)
5128	Precipitazione	mm	166	Mantova Lunetta2 SMR	25	MN	08/01/2006		N	5002119	643358	10.823931433968092	45.157985278189244	(45.157985278189244, 10.823931433968092)
8110	Livello Idrometrico	cm	826	Gavardo SP 116	205	BS	01/01/1998		N	5049767	612403	10.44108604357676	45.59235602705005	(45.59235602705005, 10.44108604357676)
2472	Umidità Relativa	%	135	Vertemate con Minoprio villa	322	CO	02/01/1993	22/07/2010	S	5062757	506658	9.085551716901774	45.71833578979237	(45.71833578979237, 9.085551716901774)
9094	Precipitazione	mm	1214	Oltre il Colle Acquedotto	1084	BG	01/01/2004	17/01/2012	S	5082095	559544	9.767460427844235	45.88984523769301	(45.88984523769301, 9.767460427844235)
32410	Velocità Vento	m/s	1680	Vilminore di Scalve Presolana	1856	BG	15/11/2017		N	5092483	580679	10.041578002405918	45.98117244427475	(45.98117244427475, 10.041578002405918)
6443	Radiazione Globale	W/m²	617	Tavazzano con Villavesco Enel suolo	80	LO	13/01/2000	15/06/2015	S	5020175	533401	9.426274335502686	45.334287809355445	(45.334287809355445, 9.426274335502686)
2448	Umidità Relativa	%	133	Bema	800	SO	01/01/1993		N	5105966	543983	9.569105234399471	46.10585292565578	(46.10585292565578, 9.569105234399471)
4027	Umidità Relativa	%	143	Livigno Passo Foscagno	2320	SO	20/01/2000		N	5149692	592662	10.20748854795916	46.49442378267979	(46.49442378267979, 10.20748854795916)
32336	Umidità Relativa	non definita	905	Cevo	1128	BS	20/07/2017		N	5103920	606529	10.377774775825152	46.080550839800345	(46.080550839800345, 10.377774775825152)
6850	Umidità Relativa	%	659	Odolo	349	BS	01/01/1999		N	5055661	608260	10.38929530279196	45.64604963372525	(45.64604963372525, 10.38929530279196)
11020	Umidità Relativa	%	1205	Molteno Cimitero	278	LC	16/12/2010		N	5069985	523872	9.30709688159315	45.78301246418984	(45.78301246418984, 9.30709688159315)
6116	Velocità Vento	m/s	530	Agrate Brianza	162	MB	12/03/1990	30/10/2013	S	5046977	527628	9.354105650819204	45.57578475922807	(45.57578475922807, 9.354105650819204)
8111	Precipitazione	mm	818	Gera Lario Fuentes	199	CO	01/01/1998		N	5110832	531836	9.41226415814798	46.150320945462944	(46.150320945462944, 9.41226415814798)
19018	Direzione Vento	°	512	Carate Brianza	250	MB	31/10/2013	23/10/2014	S	5057635	518272	9.234591661788048	45.672024734078455	(45.672024734078455, 9.234591661788048)
2112	Radiazione Globale	W/m²	108	Samolaco v.Vignola	206	SO	24/07/1998		N	5120369	532896	9.426654061947305	46.23610160988358	(46.23610160988358, 9.426654061947305)
4045	Radiazione Globale	W/m²	145	Darfo Boario Terme	222	BS	06/06/2002		N	5080789	591371	10.17735680898138	45.87460210989037	(45.87460210989037, 10.17735680898138)
14687	Umidità Relativa	%	1420	Gordona	1362	SO	20/03/2014		N	5126494	526127	9.339203152913957	46.29151911107429	(46.29151911107429, 9.339203152913957)
14750	Direzione Vento	°	1547	Rho Scalo Fiorenza - Tetto	143	MI	24/02/2015		N	5040421	507155	9.091609926370014	45.51728588547899	(45.51728588547899, 9.091609926370014)
14018	Precipitazione	mm	1077	Oltre il Colle Zambla	1138	BG	13/01/2012		N	5082261	561209	9.78893967466926	45.891193045896635	(45.891193045896635, 9.78893967466926)
